,train
normal_001,True
normal_002,True
normal_003,True
normal_004,True
normal_005,True
normal_006,True
normal_007,True
normal_008,True
normal_009,True
normal_010,True
normal_011,True
normal_012,True
normal_013,True
normal_014,True
normal_015,True
normal_016,True
normal_017,True
normal_018,True
normal_019,True
normal_020,True
normal_021,True
normal_022,True
normal_023,True
normal_024,True
normal_025,True
normal_026,True
normal_027,True
normal_028,True
normal_029,True
normal_030,True
normal_031,True
normal_032,True
normal_033,True
normal_034,True
normal_035,True
normal_036,True
normal_037,True
normal_038,True
normal_039,True
normal_040,True
normal_041,True
normal_042,True
normal_043,True
normal_044,True
normal_045,True
normal_046,True
normal_047,True
normal_048,True
normal_049,True
normal_050,True
normal_051,True
normal_052,True
normal_053,True
normal_054,True
normal_055,True
normal_056,True
normal_057,True
normal_058,True
normal_059,True
normal_060,True
normal_061,True
normal_062,True
normal_063,True
normal_064,True
normal_065,True
normal_066,True
normal_067,True
normal_068,True
normal_069,True
normal_070,True
normal_071,True
normal_072,True
normal_073,True
normal_074,True
normal_075,True
normal_076,True
normal_077,True
normal_078,True
normal_079,True
normal_080,True
normal_081,True
normal_082,True
normal_083,True
normal_084,True
normal_085,True
normal_087,True
normal_088,True
normal_089,True
normal_090,True
normal_091,True
normal_092,True
normal_093,True
normal_094,True
normal_095,True
normal_096,True
normal_097,True
normal_098,True
normal_099,True
normal_100,True
normal_101,True
normal_102,True
normal_103,True
normal_104,True
normal_105,True
normal_106,True
normal_107,True
normal_108,True
normal_109,True
normal_110,True
normal_111,True
normal_112,True
normal_113,True
normal_114,True
normal_115,True
normal_116,True
normal_117,True
normal_118,True
normal_119,True
normal_120,True
normal_121,True
normal_122,True
normal_123,True
normal_124,True
normal_125,True
normal_126,True
normal_127,True
normal_128,True
normal_129,True
normal_130,True
normal_131,True
normal_132,True
normal_133,True
normal_134,True
normal_135,True
normal_136,True
normal_137,True
normal_138,True
normal_139,True
normal_140,True
normal_141,True
normal_142,True
normal_143,True
normal_144,True
normal_145,True
normal_146,True
normal_147,True
normal_148,True
normal_149,True
normal_150,True
normal_151,True
normal_152,True
normal_153,True
normal_154,True
normal_155,True
normal_156,True
normal_157,True
normal_158,True
normal_159,True
tumor_001,True
tumor_002,True
tumor_003,True
tumor_004,True
tumor_005,True
tumor_006,True
tumor_007,True
tumor_008,True
tumor_009,True
tumor_010,True
tumor_011,True
tumor_012,True
tumor_013,True
tumor_014,True
tumor_015,True
tumor_016,True
tumor_017,True
tumor_018,True
tumor_019,True
tumor_020,True
tumor_021,True
tumor_022,True
tumor_023,True
tumor_024,True
tumor_025,True
tumor_026,True
tumor_027,True
tumor_028,True
tumor_029,True
tumor_030,True
tumor_031,True
tumor_032,True
tumor_033,True
tumor_034,True
tumor_035,True
tumor_036,True
tumor_037,True
tumor_038,True
tumor_039,True
tumor_040,True
tumor_041,True
tumor_042,True
tumor_043,True
tumor_044,True
tumor_045,True
tumor_046,True
tumor_047,True
tumor_048,True
tumor_049,True
tumor_050,True
tumor_051,True
tumor_052,True
tumor_053,True
tumor_054,True
tumor_055,True
tumor_056,True
tumor_057,True
tumor_058,True
tumor_059,True
tumor_060,True
tumor_061,True
tumor_062,True
tumor_063,True
tumor_064,True
tumor_065,True
tumor_066,True
tumor_067,True
tumor_068,True
tumor_069,True
tumor_070,True
tumor_071,True
tumor_072,True
tumor_073,True
tumor_074,True
tumor_075,True
tumor_076,True
tumor_077,True
tumor_078,True
tumor_079,True
tumor_080,True
tumor_081,True
tumor_082,True
tumor_083,True
tumor_084,True
tumor_085,True
tumor_086,True
tumor_087,True
tumor_088,True
tumor_089,True
tumor_090,True
tumor_091,True
tumor_092,True
tumor_093,True
tumor_094,True
tumor_095,True
tumor_096,True
tumor_097,True
tumor_098,True
tumor_099,True
tumor_100,True
tumor_101,True
tumor_102,True
tumor_103,True
tumor_104,True
tumor_105,True
tumor_106,True
tumor_107,True
tumor_108,True
tumor_109,True
tumor_110,True
